Town,County,Congregational,Baptist,Methodist,Episcopal,Universalist,Catholic,Presbyterian,Christian,Disciples,Sandemanian,Free,African,Union,Adventist,Unitarian,Jewish,Spiritualist,Friends,Source
Bethel,Fairfield,400,0,280,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.familysearch.org/records/images/image-details?page=1&place=346&endDate=1860&startDate=1860&creator=Federal%20Census&rmsId=TH-7739-119418-25742-31&imageIndex=827&singleView=true
Bridgeport,Fairfield,2400,800,1700,3050,400,2000,1200,0,0,0,0,300,0,0,0,0,0,0,https://www.familysearch.org/records/images/image-details?page=1&place=346&endDate=1860&startDate=1860&creator=Federal%20Census&rmsId=TH-7739-119418-25742-31&imageIndex=419&singleView=true
Brookfield,Fairfield,2200,1325,1900,1000,300,320,0,250,600,150,300,0,0,0,0,0,0,0,Included in Danbury
Danbury,Fairfield,2200,1325,1900,1000,300,320,0,250,600,150,300,0,0,0,0,0,0,0,https://www.familysearch.org/records/images/image-details?page=1&place=346&endDate=1860&startDate=1860&creator=Federal%20Census&rmsId=TH-7739-119418-25742-31&imageIndex=645&singleView=true
Darien,Fairfield,0,0,200,400,0,0,500,0,0,0,0,0,0,0,0,0,0,0,https://www.familysearch.org/records/images/image-details?page=1&place=346&endDate=1860&startDate=1860&creator=Federal%20Census&rmsId=TH-7740-119418-5412-25&imageIndex=368&singleView=true
Easton,Fairfield,600,500,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.familysearch.org/records/images/image-details?page=1&place=346&endDate=1860&startDate=1860&creator=Federal%20Census&rmsId=TH-7740-119418-5412-25&imageIndex=837&singleView=true
Fairfield,Fairfield,2100,0,450,1000,0,300,0,0,0,0,0,0,0,0,0,0,0,0,https://www.familysearch.org/records/images/image-details?page=1&place=346&endDate=1860&startDate=1860&creator=Federal%20Census&rmsId=TH-7740-119418-5412-25&imageIndex=836&singleView=true
Greenwich,Fairfield,2400,0,1750,500,0,400,0,0,0,0,0,0,0,0,0,0,0,0,https://www.familysearch.org/records/images/image-details?page=1&place=346&endDate=1860&startDate=1860&creator=Federal%20Census&rmsId=TH-7739-119418-25742-31&imageIndex=1067&singleView=true
Huntington,Fairfield,400,400,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.familysearch.org/records/images/image-details?page=1&place=346&endDate=1860&startDate=1860&creator=Federal%20Census&rmsId=TH-7739-119418-25742-31&imageIndex=1294&singleView=true
Monroe,Fairfield,400,600,900,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.familysearch.org/records/images/image-details?page=1&place=346&endDate=1860&startDate=1860&creator=Federal%20Census&rmsId=TH-7739-119418-25742-31&imageIndex=1294&singleView=true
