AGE,SEX,BPL,REALPROP,PERSPROP,SERIAL,real,pers
35,1,453,1000,0,335648,1600,
41,1,36,1000,0,335661,1600,
38,1,9,3000,2003,335670,,250
37,1,9,2000,1500,335678,2500,
35,1,9,100,0,335695,1000,
50,1,9,5000,605,335779,,665
51,1,9,6000,535,335781,,585
49,1,9,6000,3000,335805,,3500
25,1,9,0,1000,335869,,1600
56,1,9,0,0,335883,7000,3400
29,1,9,0,0,335884,0,300
71,2,9,2000,3000,335886,8000,
36,1,9,800,2000,335887,8000,
60,1,414,500,60,335892,,65
37,1,9,2000,70,335910,,75
47,1,25,3000,0,336177,3500,
45,1,9,200,200,336303,2000,
49,1,9,2000,250,336305,2500,
26,1,9,0,300,336333,,500
54,1,9,2500,500,336361,,300
28,1,9,300,100,336365,500,
37,1,414,300,0,336405,500,
34,1,411,1200,300,336409,1500,
54,1,9,3000,3000,336424,3500,
38,1,414,1000,300,336451,1800,
31,1,9,2000,200,336454,2500,
44,1,9,10000,10000,336556,1600,
42,1,25,3000,0,336565,3500,
69,2,9,11000,0,336582,6000,
42,1,9,2700,2600,336584,200,
54,1,414,4000,400,336599,2000,
48,1,410,1000,0,336617,1500,
40,1,414,1500,300,336618,,350
58,1,36,1000,2000,336629,,200
39,2,9,2000,100,336648,,150
52,1,9,1600,300,336649,,500
19,1,9,0,100,336649,,800
26,1,9,1200,1050,336724,,1000
27,1,414,600,0,336783,650,
47,1,9,8000,9000,336839,800,
