contest_id,election_date,election_type,primary_party,is_voter_statistics,question_number,question_text,question_type,question_grouping,office_name,district_type,district_name,candidate_name,is_pseudocandidate,candidate_party,candidate_party_2,candidate_party3,candidate_for_retention_or_recall,granular_division_type,granular_division_name,votes
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Joseph Trumbull",0,,,,,City/Town,Avon,135
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas H. Seymour",0,,,,,City/Town,Avon,49
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"John M. Niles",0,,,,,City/Town,Avon,13
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas K. Brace",0,,,,,City/Town,Avon,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas S. Williams",0,,,,,City/Town,Avon,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"J. M. Niles",0,,,,,City/Town,Avon,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Jonas H. Senor",0,,,,,City/Town,Avon,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Clark Bissell",0,,,,,City/Town,Avon,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Francis Gillette",0,,,,,City/Town,Avon,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Henry Strong",0,,,,,City/Town,Avon,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"All Other Votes",1,,,,,City/Town,Avon,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Joseph Trumbull",0,,,,,City/Town,Berlin,387
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas H. Seymour",0,,,,,City/Town,Berlin,325
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"John M. Niles",0,,,,,City/Town,Berlin,38
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas K. Brace",0,,,,,City/Town,Berlin,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas S. Williams",0,,,,,City/Town,Berlin,2
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"J. M. Niles",0,,,,,City/Town,Berlin,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Jonas H. Senor",0,,,,,City/Town,Berlin,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Clark Bissell",0,,,,,City/Town,Berlin,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Francis Gillette",0,,,,,City/Town,Berlin,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Henry Strong",0,,,,,City/Town,Berlin,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"All Other Votes",1,,,,,City/Town,Berlin,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Joseph Trumbull",0,,,,,City/Town,Bloomfield,102
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas H. Seymour",0,,,,,City/Town,Bloomfield,160
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"John M. Niles",0,,,,,City/Town,Bloomfield,24
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas K. Brace",0,,,,,City/Town,Bloomfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas S. Williams",0,,,,,City/Town,Bloomfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"J. M. Niles",0,,,,,City/Town,Bloomfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Jonas H. Senor",0,,,,,City/Town,Bloomfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Clark Bissell",0,,,,,City/Town,Bloomfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Francis Gillette",0,,,,,City/Town,Bloomfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Henry Strong",0,,,,,City/Town,Bloomfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"All Other Votes",1,,,,,City/Town,Bloomfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Joseph Trumbull",0,,,,,City/Town,Bristol,269
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas H. Seymour",0,,,,,City/Town,Bristol,281
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"John M. Niles",0,,,,,City/Town,Bristol,4
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas K. Brace",0,,,,,City/Town,Bristol,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas S. Williams",0,,,,,City/Town,Bristol,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"J. M. Niles",0,,,,,City/Town,Bristol,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Jonas H. Senor",0,,,,,City/Town,Bristol,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Clark Bissell",0,,,,,City/Town,Bristol,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Francis Gillette",0,,,,,City/Town,Bristol,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Henry Strong",0,,,,,City/Town,Bristol,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"All Other Votes",1,,,,,City/Town,Bristol,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Joseph Trumbull",0,,,,,City/Town,Burlington,118
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas H. Seymour",0,,,,,City/Town,Burlington,111
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"John M. Niles",0,,,,,City/Town,Burlington,10
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas K. Brace",0,,,,,City/Town,Burlington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas S. Williams",0,,,,,City/Town,Burlington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"J. M. Niles",0,,,,,City/Town,Burlington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Jonas H. Senor",0,,,,,City/Town,Burlington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Clark Bissell",0,,,,,City/Town,Burlington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Francis Gillette",0,,,,,City/Town,Burlington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Henry Strong",0,,,,,City/Town,Burlington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"All Other Votes",1,,,,,City/Town,Burlington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Joseph Trumbull",0,,,,,City/Town,Canton,177
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas H. Seymour",0,,,,,City/Town,Canton,177
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"John M. Niles",0,,,,,City/Town,Canton,36
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas K. Brace",0,,,,,City/Town,Canton,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas S. Williams",0,,,,,City/Town,Canton,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"J. M. Niles",0,,,,,City/Town,Canton,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Jonas H. Senor",0,,,,,City/Town,Canton,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Clark Bissell",0,,,,,City/Town,Canton,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Francis Gillette",0,,,,,City/Town,Canton,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Henry Strong",0,,,,,City/Town,Canton,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"All Other Votes",1,,,,,City/Town,Canton,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Joseph Trumbull",0,,,,,City/Town,"East Hartford",224
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas H. Seymour",0,,,,,City/Town,"East Hartford",264
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"John M. Niles",0,,,,,City/Town,"East Hartford",3
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas K. Brace",0,,,,,City/Town,"East Hartford",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas S. Williams",0,,,,,City/Town,"East Hartford",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"J. M. Niles",0,,,,,City/Town,"East Hartford",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Jonas H. Senor",0,,,,,City/Town,"East Hartford",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Clark Bissell",0,,,,,City/Town,"East Hartford",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Francis Gillette",0,,,,,City/Town,"East Hartford",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Henry Strong",0,,,,,City/Town,"East Hartford",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"All Other Votes",1,,,,,City/Town,"East Hartford",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Joseph Trumbull",0,,,,,City/Town,"East Windsor",229
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas H. Seymour",0,,,,,City/Town,"East Windsor",126
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"John M. Niles",0,,,,,City/Town,"East Windsor",9
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas K. Brace",0,,,,,City/Town,"East Windsor",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas S. Williams",0,,,,,City/Town,"East Windsor",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"J. M. Niles",0,,,,,City/Town,"East Windsor",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Jonas H. Senor",0,,,,,City/Town,"East Windsor",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Clark Bissell",0,,,,,City/Town,"East Windsor",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Francis Gillette",0,,,,,City/Town,"East Windsor",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Henry Strong",0,,,,,City/Town,"East Windsor",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"All Other Votes",1,,,,,City/Town,"East Windsor",0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Joseph Trumbull",0,,,,,City/Town,Enfield,281
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas H. Seymour",0,,,,,City/Town,Enfield,201
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"John M. Niles",0,,,,,City/Town,Enfield,13
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas K. Brace",0,,,,,City/Town,Enfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas S. Williams",0,,,,,City/Town,Enfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"J. M. Niles",0,,,,,City/Town,Enfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Jonas H. Senor",0,,,,,City/Town,Enfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Clark Bissell",0,,,,,City/Town,Enfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Francis Gillette",0,,,,,City/Town,Enfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Henry Strong",0,,,,,City/Town,Enfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"All Other Votes",1,,,,,City/Town,Enfield,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Joseph Trumbull",0,,,,,City/Town,Farmington,191
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas H. Seymour",0,,,,,City/Town,Farmington,145
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"John M. Niles",0,,,,,City/Town,Farmington,61
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas K. Brace",0,,,,,City/Town,Farmington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas S. Williams",0,,,,,City/Town,Farmington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"J. M. Niles",0,,,,,City/Town,Farmington,1
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Jonas H. Senor",0,,,,,City/Town,Farmington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Clark Bissell",0,,,,,City/Town,Farmington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Francis Gillette",0,,,,,City/Town,Farmington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Henry Strong",0,,,,,City/Town,Farmington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"All Other Votes",1,,,,,City/Town,Farmington,0
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Joseph Trumbull",0,,,,,City/Town,Glastonbury,191
26965,"1849-04-05 00:00:00",General,,0,,,,,Governor,State,Connecticut,"Thomas H. Seymour",0,,,,,City/Town,Glastonbury,342
